Alkyne,Alkyne,Medium,Low,Medium,0.92,Seen,Rule-consistent known chemical class,Yes
Alkyne+Ether,Unknown,Low,Medium,Medium,0.53,Novel,Predicted theoretical compound,No
Ketone+Nitro+Phenol,Unknown,High,Low,Medium,0.51,Novel,Predicted theoretical compound,No
Alkene+Amine+Nitro,Unknown,High,Low,Medium,0.52,Novel,Predicted theoretical compound,No
Acid Chloride+Alcohol+Ester,Unknown,Low,Medium,Low,0.54,Novel,Predicted theoretical compound,No
Alcohol+Aldehyde,Unknown,Medium,Medium,Medium,0.6,Novel,Predicted theoretical compound,No
Alcohol+Carboxylic Acid+Ester,Unknown,Medium,High,Medium,0.66,Novel,Predicted theoretical compound,No
Amine,Unknown,Low,Medium,Medium,0.53,Novel,Predicted theoretical compound,No
Nitrile,Nitrile Compound,Medium,Medium,Medium,0.92,Seen,Rule-consistent known chemical class,Yes
Ketone+Nitro+Phenol,Unknown,High,Low,Medium,0.61,Novel,Predicted theoretical compound,No
Aromatic Ring+Sulfide,Unknown,Medium,Low,High,0.62,Novel,Predicted theoretical compound,No
Ester+Ether+Halide,Unknown,High,Low,Medium,0.46,Novel,Predicted theoretical compound,No
Ester+Ether,Unknown,Low,Medium,Medium,0.41,Novel,Predicted theoretical compound,No
Alkyne+Sulfonamide+Thiol,Unknown,Medium,Medium,Medium,0.44,Novel,Predicted theoretical compound,No
Nitro,Unknown,High,Low,Medium,0.52,Novel,Predicted theoretical compound,No
Carboxylic Acid,Unknown,Low,High,Medium,0.42,Novel,Predicted theoretical compound,No
Aldehyde+Halide,Unknown,High,Medium,Medium,0.4,Novel,Predicted theoretical compound,No
Thiol,Thiol Compound,Medium,Medium,Medium,0.77,Seen,Rule-consistent known chemical class,Yes
Ester,Unknown,Low,Medium,Medium,0.59,Novel,Predicted theoretical compound,No
Alcohol+Amide+Sulfonamide,Unknown,Medium,High,High,0.54,Novel,Predicted theoretical compound,No
Halide+Ketone,Unknown,High,Low,Medium,0.4,Novel,Predicted theoretical compound,No
Heterocycle,Heterocyclic Compound,Medium,Medium,Medium,0.77,Seen,Rule-consistent known chemical class,Yes
Alkene+Ether,Unknown,Low,Low,Medium,0.51,Novel,Predicted theoretical compound,No
Sulfide,Sulfide Compound,Medium,Medium,Medium,0.92,Seen,Rule-consistent known chemical class,Yes
Alkyne+Thiol,Unknown,Medium,Low,Medium,0.65,Novel,Predicted theoretical compound,No
Ketone,Unknown,Medium,Medium,Medium,0.55,Novel,Predicted theoretical compound,No
Alkene+Aromatic Ring+Ester,Unknown,Medium,Low,Medium,0.47,Novel,Predicted theoretical compound,No
Alcohol+Thiol,Unknown,Medium,Low,Medium,0.4,Novel,Predicted theoretical compound,No
Amide+Amine+Phenol,Unknown,Medium,High,High,0.66,Novel,Predicted theoretical compound,No
Carboxylic Acid+Heterocycle+Thiol,Unknown,Medium,High,Medium,0.59,Novel,Predicted theoretical compound,No
Aldehyde+Halide+Nitro,Unknown,High,Low,Medium,0.66,Novel,Predicted theoretical compound,No
Phenol,Phenol,Low,Medium,Medium,0.85,Seen,Rule-consistent known chemical class,Yes
Acid Chloride+Ketone+Phenol,Unknown,Medium,Low,Low,0.46,Novel,Predicted theoretical compound,No
Aldehyde,Unknown,Low,Low,Medium,0.52,Novel,Predicted theoretical compound,No
Acid Chloride+Aromatic Ring,Unknown,Low,Low,Low,0.43,Novel,Predicted theoretical compound,No
Amide+Amine+Sulfonamide,Unknown,Medium,High,High,0.43,Novel,Predicted theoretical compound,No
Ester+Nitro,Unknown,High,Low,Medium,0.53,Novel,Predicted theoretical compound,No
Ester+Phenol+Thiol,Unknown,Medium,Low,Medium,0.62,Novel,Predicted theoretical compound,No
Aldehyde+Halide,Unknown,High,Low,Medium,0.62,Novel,Predicted theoretical compound,No
Ketone,Unknown,Low,Medium,Medium,0.61,Novel,Predicted theoretical compound,No
Amide,Unknown,Low,High,High,0.63,Novel,Predicted theoretical compound,No
Acid Chloride+Halide+Nitro,Unknown,High,Low,Low,0.62,Novel,Predicted theoretical compound,No
Aromatic Ring+Nitrile+Thiol,Unknown,Medium,Low,High,0.48,Novel,Predicted theoretical compound,No
Ketone,Unknown,Medium,Low,Medium,0.57,Novel,Predicted theoretical compound,No
Ether+Halide+Nitro,Unknown,High,Low,Medium,0.44,Novel,Predicted theoretical compound,No
Thiol,Thiol Compound,Medium,Low,Medium,0.83,Seen,Rule-consistent known chemical class,Yes
Halide+Thiol,Unknown,High,Medium,Medium,0.49,Novel,Predicted theoretical compound,No
Aldehyde+Ketone+Nitrile,Unknown,Medium,Low,Medium,0.59,Novel,Predicted theoretical compound,No
Amide+Sulfide+Thiol,Unknown,Medium,High,High,0.51,Novel,Predicted theoretical compound,No
Nitro,Unknown,High,Low,Medium,0.48,Novel,Predicted theoretical compound,No
Ester+Thiol,Unknown,Medium,Medium,Medium,0.47,Novel,Predicted theoretical compound,No
Acid Chloride+Sulfide,Unknown,Medium,Medium,Low,0.67,Novel,Predicted theoretical compound,No
Carboxylic Acid+Nitro+Sulfonamide,Unknown,High,High,Medium,0.48,Novel,Predicted theoretical compound,No
Alkene+Alkyne,Unknown,Low,Low,Medium,0.43,Novel,Predicted theoretical compound,No
Carboxylic Acid+Nitrile,Unknown,Medium,High,Medium,0.62,Novel,Predicted theoretical compound,No
Heterocycle+Phenol+Sulfide,Unknown,Medium,Medium,Medium,0.68,Novel,Predicted theoretical compound,No
Ketone+Nitro+Thiol,Unknown,Medium,Low,Medium,0.59,Novel,Predicted theoretical compound,No
Aldehyde+Amine+Heterocycle,Unknown,Medium,Medium,Medium,0.4,Novel,Predicted theoretical compound,No
Acid Chloride,Acid Chloride,Low,Low,Low,0.81,Seen,Rule-consistent known chemical class,Yes
Amine+Halide,Unknown,High,Medium,Medium,0.51,Novel,Predicted theoretical compound,No
Amine+Heterocycle+Phenol,Unknown,Medium,Medium,Medium,0.54,Novel,Predicted theoretical compound,No
Amide,Unknown,Low,High,High,0.63,Novel,Predicted theoretical compound,No
Amine+Carboxylic Acid,Salt,Medium,High,Medium,0.91,Seen,Rule-consistent known chemical class,Yes
Sulfide,Sulfide Compound,Medium,Medium,Medium,0.8,Seen,Rule-consistent known chemical class,Yes
Alkene+Heterocycle,Unknown,Medium,Low,Medium,0.44,Novel,Predicted theoretical compound,No
Amine+Aromatic Ring,Unknown,Medium,Low,High,0.48,Novel,Predicted theoretical compound,No
Acid Chloride+Alkene+Halide,Unknown,High,Medium,Low,0.62,Novel,Predicted theoretical compound,No
Aldehyde+Aromatic Ring+Sulfide,Unknown,Medium,Low,High,0.48,Novel,Predicted theoretical compound,No
Alkyne+Ether,Unknown,Low,Low,Medium,0.56,Novel,Predicted theoretical compound,No
Alkene+Halide+Sulfonamide,Unknown,High,Low,Medium,0.7,Novel,Predicted theoretical compound,No
Carboxylic Acid,Unknown,Medium,High,Medium,0.57,Novel,Predicted theoretical compound,No
Alcohol+Thiol,Unknown,Medium,Medium,Medium,0.64,Novel,Predicted theoretical compound,No
Alkene+Aromatic Ring+Sulfide,Unknown,Medium,Low,High,0.46,Novel,Predicted theoretical compound,No
Ester+Nitrile,Unknown,Medium,Low,Medium,0.55,Novel,Predicted theoretical compound,No
Ether,Unknown,Low,Low,Medium,0.4,Novel,Predicted theoretical compound,No
Alcohol,Ether,Low,Low,Medium,0.89,Seen,Rule-consistent known chemical class,Yes
Acid Chloride+Thiol,Unknown,Medium,Low,Low,0.41,Novel,Predicted theoretical compound,No
Alkyne+Ester+Sulfonamide,Unknown,Medium,Low,Medium,0.64,Novel,Predicted theoretical compound,No
Alkyne+Amine+Ester,Unknown,Low,Low,Medium,0.66,Novel,Predicted theoretical compound,No
Halide,Unknown,High,Medium,Medium,0.46,Novel,Predicted theoretical compound,No
Alkyne+Carboxylic Acid+Sulfide,Unknown,Medium,High,Medium,0.47,Novel,Predicted theoretical compound,No
Amine+Ketone,Unknown,Low,Low,Medium,0.64,Novel,Predicted theoretical compound,No
Carboxylic Acid+Ether+Nitro,Unknown,High,High,Medium,0.64,Novel,Predicted theoretical compound,No
Alkyne+Halide,Unknown,High,Medium,Medium,0.5,Novel,Predicted theoretical compound,No
Acid Chloride+Amide+Carboxylic Acid,Unknown,Medium,High,Low,0.56,Novel,Predicted theoretical compound,No
Nitrile,Nitrile Compound,Medium,Low,Medium,0.78,Seen,Rule-consistent known chemical class,Yes
Alkyne+Phenol,Unknown,Low,Low,Medium,0.56,Novel,Predicted theoretical compound,No
Alcohol+Aldehyde+Amine,Unknown,Medium,Medium,Medium,0.5,Novel,Predicted theoretical compound,No
Alcohol,Ether,Medium,Medium,Medium,0.86,Seen,Rule-consistent known chemical class,Yes
Acid Chloride+Halide+Sulfide,Unknown,Medium,Medium,Low,0.45,Novel,Predicted theoretical compound,No
Ether+Nitrile,Unknown,Medium,Medium,Medium,0.65,Novel,Predicted theoretical compound,No
Amine,Unknown,Low,Medium,Medium,0.58,Novel,Predicted theoretical compound,No
Alcohol+Nitro+Sulfide,Unknown,High,Low,Medium,0.52,Novel,Predicted theoretical compound,No
Amide+Ether+Halide,Unknown,High,High,High,0.54,Novel,Predicted theoretical compound,No
Halide,Unknown,High,Medium,Medium,0.62,Novel,Predicted theoretical compound,No
Aldehyde+Halide+Heterocycle,Unknown,High,Medium,Medium,0.56,Novel,Predicted theoretical compound,No
Aromatic Ring+Halide+Ketone,Unknown,High,Low,High,0.6,Novel,Predicted theoretical compound,No
Aromatic Ring+Sulfide,Unknown,Medium,Low,High,0.54,Novel,Predicted theoretical compound,No
Heterocycle+Nitro+Sulfonamide,Unknown,High,Low,Medium,0.55,Novel,Predicted theoretical compound,No
Aldehyde+Alkene+Ketone,Unknown,Medium,Medium,Medium,0.44,Novel,Predicted theoretical compound,No
Ether,Unknown,Low,Medium,Medium,0.63,Novel,Predicted theoretical compound,No
Acid Chloride+Thiol,Unknown,Medium,Low,Low,0.42,Novel,Predicted theoretical compound,No
Nitro+Phenol,Unknown,High,Low,Medium,0.66,Novel,Predicted theoretical compound,No
Nitro+Thiol,Unknown,High,Low,Medium,0.45,Novel,Predicted theoretical compound,No
Alkene,Alkene,Medium,Medium,Medium,0.93,Seen,Rule-consistent known chemical class,Yes
Alcohol+Carboxylic Acid+Sulfide,Unknown,Medium,High,Medium,0.58,Novel,Predicted theoretical compound,No
Amide+Heterocycle+Phenol,Unknown,Medium,High,High,0.62,Novel,Predicted theoretical compound,No
Alkene+Heterocycle,Unknown,Low,Low,Medium,0.52,Novel,Predicted theoretical compound,No
Alcohol+Aromatic Ring+Sulfonamide,Unknown,Medium,Low,High,0.62,Novel,Predicted theoretical compound,No
Phenol,Phenol,Medium,Low,Medium,0.84,Seen,Rule-consistent known chemical class,Yes
Heterocycle+Sulfide,Unknown,Medium,Low,Medium,0.52,Novel,Predicted theoretical compound,No
Ether,Unknown,Low,Low,Medium,0.66,Novel,Predicted theoretical compound,No
Nitro+Sulfide,Unknown,Medium,Low,Medium,0.44,Novel,Predicted theoretical compound,No
Aromatic Ring+Ketone+Nitrile,Unknown,Medium,Low,High,0.46,Novel,Predicted theoretical compound,No
Aromatic Ring+Nitrile,Unknown,Medium,Low,High,0.55,Novel,Predicted theoretical compound,No
Alkene,Alkene,Medium,Low,Medium,0.89,Seen,Rule-consistent known chemical class,Yes
Carboxylic Acid,Unknown,Low,High,Medium,0.58,Novel,Predicted theoretical compound,No
Heterocycle+Nitrile,Unknown,Medium,Medium,Medium,0.63,Novel,Predicted theoretical compound,No
Sulfonamide,Unknown,Medium,Medium,Medium,0.55,Novel,Predicted theoretical compound,No
Alcohol,Ether,Medium,Low,Medium,0.83,Seen,Rule-consistent known chemical class,Yes
Acid Chloride+Sulfide+Thiol,Unknown,Medium,Medium,Low,0.56,Novel,Predicted theoretical compound,No
Halide+Phenol,Unknown,High,Medium,Medium,0.57,Novel,Predicted theoretical compound,No
Ester+Sulfonamide,Unknown,Low,Medium,Medium,0.52,Novel,Predicted theoretical compound,No
Amine+Ester,Unknown,Medium,Low,Medium,0.48,Novel,Predicted theoretical compound,No
Alcohol,Ether,Low,Medium,Medium,0.88,Seen,Rule-consistent known chemical class,Yes
Heterocycle,Heterocyclic Compound,Medium,Low,Medium,0.86,Seen,Rule-consistent known chemical class,Yes
Alkyne+Ether+Sulfide,Unknown,Medium,Low,Medium,0.51,Novel,Predicted theoretical compound,No
Acid Chloride+Alkene+Ester,Unknown,Low,Medium,Low,0.4,Novel,Predicted theoretical compound,No
Alcohol+Ether,Unknown,Medium,Medium,Medium,0.49,Novel,Predicted theoretical compound,No
Aromatic Ring,Aromatic Compound,Medium,Low,High,0.82,Seen,Rule-consistent known chemical class,Yes
Aromatic Ring,Aromatic Compound,Medium,Low,High,0.86,Seen,Rule-consistent known chemical class,Yes
Ether,Unknown,Low,Medium,Medium,0.57,Novel,Predicted theoretical compound,No
Alkene+Amine,Unknown,Low,Medium,Medium,0.63,Novel,Predicted theoretical compound,No
Alkene,Alkene,Medium,Medium,Medium,0.86,Seen,Rule-consistent known chemical class,Yes
Aromatic Ring+Halide+Sulfide,Unknown,High,Low,High,0.58,Novel,Predicted theoretical compound,No
Acid Chloride+Alcohol+Aromatic Ring,Unknown,Medium,Low,Low,0.48,Novel,Predicted theoretical compound,No
Alkene+Sulfide,Unknown,Medium,Low,Medium,0.54,Novel,Predicted theoretical compound,No
Alcohol+Halide,Unknown,High,Medium,Medium,0.5,Novel,Predicted theoretical compound,No
Amine,Unknown,Low,Low,Medium,0.63,Novel,Predicted theoretical compound,No
Alkene,Alkene,Medium,Medium,Medium,0.77,Seen,Rule-consistent known chemical class,Yes
Alcohol+Amide+Sulfonamide,Unknown,Medium,High,High,0.55,Novel,Predicted theoretical compound,No
Alkyne,Alkyne,Medium,Medium,Medium,0.83,Seen,Rule-consistent known chemical class,Yes
Alkyne+Heterocycle+Nitrile,Unknown,Medium,Low,Medium,0.66,Novel,Predicted theoretical compound,No
Alkene+Amide+Sulfide,Unknown,Medium,High,High,0.6,Novel,Predicted theoretical compound,No
Aldehyde+Sulfide,Unknown,Medium,Low,Medium,0.45,Novel,Predicted theoretical compound,No
Acid Chloride,Acid Chloride,Low,Low,Low,0.77,Seen,Rule-consistent known chemical class,Yes
Nitro,Unknown,High,Low,Medium,0.56,Novel,Predicted theoretical compound,No
Acid Chloride+Heterocycle,Unknown,Low,Low,Low,0.57,Novel,Predicted theoretical compound,No
Halide,Unknown,High,Low,Medium,0.41,Novel,Predicted theoretical compound,No
Aldehyde+Carboxylic Acid+Ether,Unknown,Low,High,Medium,0.43,Novel,Predicted theoretical compound,No
Nitrile,Nitrile Compound,Medium,Low,Medium,0.83,Seen,Rule-consistent known chemical class,Yes
Ester+Halide+Sulfonamide,Unknown,High,Low,Medium,0.49,Novel,Predicted theoretical compound,No
Nitrile,Nitrile Compound,Medium,Low,Medium,0.78,Seen,Rule-consistent known chemical class,Yes
Ester+Heterocycle,Unknown,Medium,Medium,Medium,0.54,Novel,Predicted theoretical compound,No
Alcohol,Ether,Medium,Low,Medium,0.93,Seen,Rule-consistent known chemical class,Yes
Nitrile,Nitrile Compound,Medium,Low,Medium,0.89,Seen,Rule-consistent known chemical class,Yes
Alkene+Halide+Nitro,Unknown,High,Low,Medium,0.48,Novel,Predicted theoretical compound,No
Alcohol+Ester+Thiol,Unknown,Medium,Medium,Medium,0.66,Novel,Predicted theoretical compound,No
Phenol,Phenol,Low,Low,Medium,0.91,Seen,Rule-consistent known chemical class,Yes
Amide+Amine+Carboxylic Acid,Unknown,Low,High,High,0.59,Novel,Predicted theoretical compound,No
Aromatic Ring+Halide,Unknown,High,Low,High,0.62,Novel,Predicted theoretical compound,No
Alkene,Alkene,Medium,Medium,Medium,0.77,Seen,Rule-consistent known chemical class,Yes
Halide+Sulfonamide+Thiol,Unknown,High,Low,Medium,0.44,Novel,Predicted theoretical compound,No
Ketone+Thiol,Unknown,Medium,Low,Medium,0.45,Novel,Predicted theoretical compound,No
Aldehyde+Alkene+Ketone,Unknown,Low,Low,Medium,0.48,Novel,Predicted theoretical compound,No
Amide+Amine+Aromatic Ring,Unknown,Low,High,High,0.47,Novel,Predicted theoretical compound,No
Nitrile+Sulfide,Unknown,Medium,Low,Medium,0.65,Novel,Predicted theoretical compound,No
Aldehyde+Carboxylic Acid+Ketone,Unknown,Medium,High,Medium,0.59,Novel,Predicted theoretical compound,No
Nitrile,Nitrile Compound,Medium,Medium,Medium,0.78,Seen,Rule-consistent known chemical class,Yes
Nitro,Unknown,High,Low,Medium,0.4,Novel,Predicted theoretical compound,No
Phenol,Phenol,Low,Medium,Medium,0.81,Seen,Rule-consistent known chemical class,Yes
Aldehyde,Unknown,Medium,Medium,Medium,0.57,Novel,Predicted theoretical compound,No
Amide+Ether+Phenol,Unknown,Low,High,High,0.69,Novel,Predicted theoretical compound,No
Nitro,Unknown,High,Low,Medium,0.59,Novel,Predicted theoretical compound,No
Aromatic Ring,Aromatic Compound,Low,Low,High,0.81,Seen,Rule-consistent known chemical class,Yes
Acid Chloride,Acid Chloride,Low,Low,Low,0.77,Seen,Rule-consistent known chemical class,Yes
Alkene+Carboxylic Acid,Unknown,Medium,High,Medium,0.52,Novel,Predicted theoretical compound,No
Sulfonamide,Unknown,Medium,Medium,Medium,0.47,Novel,Predicted theoretical compound,No
Acid Chloride+Phenol,Unknown,Low,Low,Low,0.46,Novel,Predicted theoretical compound,No
Ether+Ketone,Unknown,Low,Low,Medium,0.42,Novel,Predicted theoretical compound,No
Ketone+Sulfonamide,Unknown,Low,Medium,Medium,0.64,Novel,Predicted theoretical compound,No
Carboxylic Acid+Heterocycle,Unknown,Medium,High,Medium,0.46,Novel,Predicted theoretical compound,No
Carboxylic Acid+Sulfonamide,Unknown,Medium,High,Medium,0.69,Novel,Predicted theoretical compound,No
Thiol,Thiol Compound,Medium,Low,Medium,0.94,Seen,Rule-consistent known chemical class,Yes
Aromatic Ring+Halide,Unknown,High,Low,High,0.68,Novel,Predicted theoretical compound,No
Nitrile,Nitrile Compound,Medium,Low,Medium,0.76,Seen,Rule-consistent known chemical class,Yes
Amide+Nitrile+Sulfide,Unknown,Medium,High,High,0.67,Novel,Predicted theoretical compound,No
Alkyne+Halide+Sulfide,Unknown,Medium,Medium,Medium,0.48,Novel,Predicted theoretical compound,No
Aromatic Ring,Aromatic Compound,Low,Low,High,0.81,Seen,Rule-consistent known chemical class,Yes
Alkene,Alkene,Low,Low,Medium,0.76,Seen,Rule-consistent known chemical class,Yes
Aldehyde+Alkene+Ether,Unknown,Medium,Low,Medium,0.58,Novel,Predicted theoretical compound,No
Alkene+Halide+Phenol,Unknown,High,Low,Medium,0.68,Novel,Predicted theoretical compound,No
Ether+Phenol,Unknown,Medium,Medium,Medium,0.61,Novel,Predicted theoretical compound,No
Alcohol,Ether,Low,Medium,Medium,0.93,Seen,Rule-consistent known chemical class,Yes
Alkyne,Alkyne,Medium,Medium,Medium,0.8,Seen,Rule-consistent known chemical class,Yes
Alcohol,Ether,Low,Medium,Medium,0.91,Seen,Rule-consistent known chemical class,Yes
Sulfide,Sulfide Compound,Medium,Low,Medium,0.87,Seen,Rule-consistent known chemical class,Yes
Alkyne+Ester+Phenol,Unknown,Medium,Low,Medium,0.45,Novel,Predicted theoretical compound,No
Sulfonamide,Unknown,Low,Low,Medium,0.65,Novel,Predicted theoretical compound,No
Alcohol+Alkyne+Ketone,Unknown,Medium,Low,Medium,0.41,Novel,Predicted theoretical compound,No
Aromatic Ring+Ester,Unknown,Medium,Low,Medium,0.68,Novel,Predicted theoretical compound,No
Aromatic Ring,Aromatic Compound,Low,Low,High,0.87,Seen,Rule-consistent known chemical class,Yes
Alkene+Nitrile,Unknown,Medium,Medium,Medium,0.66,Novel,Predicted theoretical compound,No
Amine,Unknown,Low,Medium,Medium,0.7,Novel,Predicted theoretical compound,No
Amine,Unknown,Low,Low,Medium,0.59,Novel,Predicted theoretical compound,No
Ester,Unknown,Medium,Medium,Medium,0.55,Novel,Predicted theoretical compound,No
Amine,Unknown,Low,Low,Medium,0.49,Novel,Predicted theoretical compound,No
Alcohol+Aromatic Ring+Thiol,Unknown,Medium,Low,High,0.42,Novel,Predicted theoretical compound,No
Aldehyde+Alkene+Heterocycle,Unknown,Low,Low,Medium,0.51,Novel,Predicted theoretical compound,No
Carboxylic Acid,Unknown,Medium,High,Medium,0.62,Novel,Predicted theoretical compound,No
Alkyne,Alkyne,Medium,Low,Medium,0.78,Seen,Rule-consistent known chemical class,Yes
Heterocycle,Heterocyclic Compound,Medium,Low,Medium,0.89,Seen,Rule-consistent known chemical class,Yes
Alcohol+Aromatic Ring+Ether,Unknown,Medium,Low,High,0.41,Novel,Predicted theoretical compound,No
Alcohol,Ether,Medium,Medium,Medium,0.87,Seen,Rule-consistent known chemical class,Yes
Heterocycle+Thiol,Unknown,Medium,Low,Medium,0.41,Novel,Predicted theoretical compound,No
Heterocycle+Sulfide,Unknown,Medium,Medium,Medium,0.41,Novel,Predicted theoretical compound,No
Alcohol+Amide+Nitrile,Unknown,Medium,High,High,0.58,Novel,Predicted theoretical compound,No
Nitro,Unknown,High,Low,Medium,0.61,Novel,Predicted theoretical compound,No
Heterocycle+Ketone,Unknown,Medium,Medium,Medium,0.55,Novel,Predicted theoretical compound,No
Aromatic Ring+Thiol,Unknown,Medium,Low,High,0.59,Novel,Predicted theoretical compound,No
Halide,Unknown,High,Medium,Medium,0.52,Novel,Predicted theoretical compound,No
Heterocycle+Phenol+Sulfide,Unknown,Medium,Low,Medium,0.41,Novel,Predicted theoretical compound,No
Acid Chloride+Amine+Thiol,Unknown,Medium,Medium,Low,0.44,Novel,Predicted theoretical compound,No
Ketone,Unknown,Medium,Low,Medium,0.52,Novel,Predicted theoretical compound,No
Acid Chloride+Alkyne,Unknown,Medium,Medium,Low,0.66,Novel,Predicted theoretical compound,No
Ketone,Unknown,Low,Medium,Medium,0.54,Novel,Predicted theoretical compound,No
Alcohol+Nitro,Unknown,High,Low,Medium,0.41,Novel,Predicted theoretical compound,No
Alcohol+Heterocycle,Unknown,Medium,Medium,Medium,0.68,Novel,Predicted theoretical compound,No
Aromatic Ring+Carboxylic Acid+Ester,Unknown,Low,High,Medium,0.69,Novel,Predicted theoretical compound,No
Aromatic Ring+Ester,Unknown,Medium,Low,Medium,0.6,Novel,Predicted theoretical compound,No
Acid Chloride+Sulfide,Unknown,Medium,Medium,Low,0.42,Novel,Predicted theoretical compound,No
Nitro,Unknown,High,Low,Medium,0.7,Novel,Predicted theoretical compound,No
Sulfonamide,Unknown,Low,Medium,Medium,0.59,Novel,Predicted theoretical compound,No
Alcohol+Halide,Unknown,High,Low,Medium,0.6,Novel,Predicted theoretical compound,No
Ether+Nitrile,Unknown,Medium,Medium,Medium,0.51,Novel,Predicted theoretical compound,No
Alcohol+Heterocycle,Unknown,Medium,Medium,Medium,0.66,Novel,Predicted theoretical compound,No
Nitro,Unknown,High,Low,Medium,0.47,Novel,Predicted theoretical compound,No
Acid Chloride+Alkene+Aromatic Ring,Unknown,Medium,Low,Low,0.6,Novel,Predicted theoretical compound,No
Alcohol+Ester+Ether,Unknown,Medium,Low,Medium,0.52,Novel,Predicted theoretical compound,No
Thiol,Thiol Compound,Medium,Low,Medium,0.93,Seen,Rule-consistent known chemical class,Yes
Heterocycle+Ketone+Thiol,Unknown,Medium,Medium,Medium,0.65,Novel,Predicted theoretical compound,No
Nitrile,Nitrile Compound,Medium,Medium,Medium,0.86,Seen,Rule-consistent known chemical class,Yes
Amide+Carboxylic Acid,Unknown,Low,High,High,0.58,Novel,Predicted theoretical compound,No
Alcohol+Aldehyde,Unknown,Medium,Low,Medium,0.59,Novel,Predicted theoretical compound,No
Acid Chloride+Amine,Unknown,Low,Medium,Low,0.68,Novel,Predicted theoretical compound,No
Nitrile,Nitrile Compound,Medium,Low,Medium,0.78,Seen,Rule-consistent known chemical class,Yes
Amine+Heterocycle+Nitro,Unknown,High,Low,Medium,0.5,Novel,Predicted theoretical compound,No
Amide+Amine,Unknown,Low,High,High,0.62,Novel,Predicted theoretical compound,No
Amine,Unknown,Low,Medium,Medium,0.6,Novel,Predicted theoretical compound,No
Sulfide,Sulfide Compound,Medium,Low,Medium,0.93,Seen,Rule-consistent known chemical class,Yes
Aromatic Ring+Carboxylic Acid+Ketone,Unknown,Medium,Low,High,0.42,Novel,Predicted theoretical compound,No
Alkyne+Phenol,Unknown,Medium,Low,Medium,0.54,Novel,Predicted theoretical compound,No
Aldehyde+Nitro,Unknown,High,Low,Medium,0.61,Novel,Predicted theoretical compound,No
Amide+Carboxylic Acid+Nitro,Unknown,High,Low,High,0.47,Novel,Predicted theoretical compound,No
Alkyne+Carboxylic Acid+Thiol,Unknown,Medium,High,Medium,0.63,Novel,Predicted theoretical compound,No
Phenol,Phenol,Medium,Medium,Medium,0.87,Seen,Rule-consistent known chemical class,Yes
Nitrile,Nitrile Compound,Medium,Medium,Medium,0.78,Seen,Rule-consistent known chemical class,Yes
Alkyne+Sulfide,Unknown,Medium,Low,Medium,0.52,Novel,Predicted theoretical compound,No
Aromatic Ring+Ketone,Unknown,Medium,Low,High,0.53,Novel,Predicted theoretical compound,No
Alcohol+Aldehyde,Unknown,Low,Low,Medium,0.49,Novel,Predicted theoretical compound,No
Heterocycle+Sulfonamide,Unknown,Low,Low,Medium,0.45,Novel,Predicted theoretical compound,No
Ester,Unknown,Medium,Medium,Medium,0.57,Novel,Predicted theoretical compound,No
Aromatic Ring+Ketone,Unknown,Low,Low,High,0.64,Novel,Predicted theoretical compound,No
Carboxylic Acid,Unknown,Low,High,Medium,0.6,Novel,Predicted theoretical compound,No
Phenol,Phenol,Medium,Medium,Medium,0.92,Seen,Rule-consistent known chemical class,Yes
Amide,Unknown,Medium,High,High,0.59,Novel,Predicted theoretical compound,No
Ester,Unknown,Low,Low,Medium,0.63,Novel,Predicted theoretical compound,No
Amide+Amine,Unknown,Medium,High,High,0.45,Novel,Predicted theoretical compound,No
Ether+Nitro,Unknown,High,Low,Medium,0.56,Novel,Predicted theoretical compound,No
Amine+Ester+Sulfide,Unknown,Medium,Low,Medium,0.46,Novel,Predicted theoretical compound,No
Carboxylic Acid+Ether,Unknown,Medium,High,Medium,0.64,Novel,Predicted theoretical compound,No
Acid Chloride+Alkyne+Heterocycle,Unknown,Low,Medium,Low,0.49,Novel,Predicted theoretical compound,No
Acid Chloride+Halide,Unknown,High,Low,Low,0.63,Novel,Predicted theoretical compound,No
Aromatic Ring,Aromatic Compound,Low,Low,High,0.93,Seen,Rule-consistent known chemical class,Yes
Amide+Heterocycle,Unknown,Medium,High,High,0.46,Novel,Predicted theoretical compound,No
Phenol+Thiol,Unknown,Medium,Medium,Medium,0.55,Novel,Predicted theoretical compound,No
Phenol+Thiol,Unknown,Medium,Low,Medium,0.49,Novel,Predicted theoretical compound,No
Nitrile,Nitrile Compound,Medium,Low,Medium,0.89,Seen,Rule-consistent known chemical class,Yes
Heterocycle,Heterocyclic Compound,Low,Low,Medium,0.87,Seen,Rule-consistent known chemical class,Yes
Carboxylic Acid+Ester,Unknown,Medium,High,Medium,0.57,Novel,Predicted theoretical compound,No
Alkyne+Nitro,Unknown,High,Low,Medium,0.63,Novel,Predicted theoretical compound,No
Alcohol+Aromatic Ring+Ether,Unknown,Medium,Low,High,0.68,Novel,Predicted theoretical compound,No
Heterocycle,Heterocyclic Compound,Low,Medium,Medium,0.8,Seen,Rule-consistent known chemical class,Yes
Acid Chloride+Alkyne+Halide,Unknown,High,Medium,Low,0.46,Novel,Predicted theoretical compound,No
Acid Chloride+Amide+Phenol,Unknown,Medium,High,High,0.44,Novel,Predicted theoretical compound,No
Alkene,Alkene,Medium,Medium,Medium,0.84,Seen,Rule-consistent known chemical class,Yes
